ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProtoForm,ConceptInSource
ProPaTa-todry-1,,ProPaTa,todry,*mur…,*mur…,m u r,,,73,,^ * m u r … $,default,**mur…,to dry
pP-todry-1,,pP,todry,*moro,*moro,m o r o,,,73,,^ * m o r o $,default,**mur…,to dry
pT-todry-1,,pT,todry,*muři,*muři,m u ɽ i,,,73,,^ * m u ř i $,default,**mur…,to dry
ProPaTa-togetwetbewet-1,,ProPaTa,togetwetbewet,**Mɨ-,**Mɨ-,m ɨ,,,74,,^ * * M ɨ -$,default,**Mɨ-,"to get wet,be wet"
pP-togetwetbewet-1,,pP,togetwetbewet,*mɨʔča,*mɨʔča,m ɨ ʔ tʃ a,"Shell does not account for such forms in her cognate sets as Isconawa mbɨča ‘wet’, mbɨčaki̹ ‘be wet’, Yaninawa buitšɨdɨ ‘wet’, which point to *b̴ rather than to *m. Also to be found in Shell is pP *mɨwɨ ‘waterhole’. Here again, Isconawa shows mbɨwɨ ‘waterhole’. Abreu’s Cashinawa shows”: bɨa ‘to draw liquid from a vase’, bɨsa ‘fine rain’, bɨca ‘wash outside’, bɨcis ‘to put out fire with water’, and bɨča ‘to wash the face, to wash outside’. It is possible that two roots are present here: *mɨ+ča ‘to wet hands’ and *b̴i+ča ‘to wet the face’. PT *beca ‘to swim’. This Takanan form is to be found under *be3- ‘arm,shoulder’ because Armentia glossed the Takana form beca as ‘breacer, that is, move the arms, brachiate’",,74,,^ * m ɨ ʔ č a $,default,**Mɨ-,"to get wet,be wet"
ProPaTa-water-1,,ProPaTa,water,**na-,**na-,n a,,,75,,^ * * n a -$,default,**na-,water
pP-water-1,,pP,water,*naši-,*naši-,n a ʂ i,,,75,,^ * n a š i -$,default,**na-,bathe
pT-water-1,,pT,water,*na-,*na-,n a,,,75,,^ * n a -$,default,**na-,"water,plus many compounds"
ProPaTa-standgo-1,,ProPaTa,standgo,**ni-,**ni-,n i,,,76,,^ * * n i -$,default,**ni-,"stand,go"
pP-standgo-1,,pP,standgo,*ni-,*ni-,n i,,,76,,^ * n i -$,default,**ni-,"stand,go"
